number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
1.000000	1117.000000	1.000000	0.000000		70.000000	S  1	Stimulus	70.000000	1.000000
2.000000	1501.000000	1.000000	0.000000		71.000000	S  3	Stimulus	71.000000	1.000000
3.000000	1762.000000	1.000000	0.000000		72.000000	S  5	Stimulus	72.000000	1.000000
4.000000	4567.000000	1.000000	0.000000		83.000000	S  2	Stimulus	83.000000	2.000000
5.000000	5001.000000	1.000000	0.000000		84.000000	S  3	Stimulus	84.000000	2.000000
6.000000	5123.000000	1.000000	0.000000		85.000000	S  5	Stimulus	85.000000	2.000000
7.000000	8067.000000	1.000000	0.000000		112.000000	S  1	Stimulus	112.000000	3.000000
8.000000	8501.000000	1.000000	0.000000		113.000000	S  3	Stimulus	113.000000	3.000000
9.000000	8749.000000	1.000000	0.000000		114.000000	S  5	Stimulus	114.000000	3.000000
10.000000	11618.000000	1.000000	0.000000		149.000000	S  2	Stimulus	149.000000	4.000000
11.000000	12001.000000	1.000000	0.000000		150.000000	S  3	Stimulus	150.000000	4.000000
12.000000	12229.000000	1.000000	0.000000		151.000000	S  5	Stimulus	151.000000	4.000000
13.000000	15068.000000	1.000000	0.000000		198.000000	S  1	Stimulus	198.000000	5.000000
14.000000	15501.000000	1.000000	0.000000		199.000000	S  3	Stimulus	199.000000	5.000000
15.000000	15674.000000	1.000000	0.000000		200.000000	S  5	Stimulus	200.000000	5.000000
16.000000	18567.000000	1.000000	0.000000		213.000000	S  1	Stimulus	213.000000	6.000000
17.000000	19001.000000	1.000000	0.000000		214.000000	S  3	Stimulus	214.000000	6.000000
18.000000	19201.000000	1.000000	0.000000		215.000000	S  5	Stimulus	215.000000	6.000000
19.000000	22067.000000	1.000000	0.000000		258.000000	S  1	Stimulus	258.000000	7.000000
20.000000	22501.000000	1.000000	0.000000		259.000000	S  3	Stimulus	259.000000	7.000000
21.000000	22731.000000	1.000000	0.000000		260.000000	S  5	Stimulus	260.000000	7.000000
