number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
1.000000	1364.000000	1.000000	0.000000		2.000000	S  2	Stimulus	2.000000	1.000000
2.000000	2001.000000	1.000000	0.000000		3.000000	S  6	Stimulus	3.000000	1.000000
3.000000	5420.000000	1.000000	0.000000		4.000000	S  1	Stimulus	4.000000	2.000000
4.000000	6001.000000	1.000000	0.000000		5.000000	S  6	Stimulus	5.000000	2.000000
5.000000	9526.000000	1.000000	0.000000		6.000000	S  2	Stimulus	6.000000	3.000000
6.000000	10001.000000	1.000000	0.000000		7.000000	S  6	Stimulus	7.000000	3.000000
7.000000	13505.000000	1.000000	0.000000		8.000000	S  1	Stimulus	8.000000	4.000000
8.000000	14001.000000	1.000000	0.000000		9.000000	S  6	Stimulus	9.000000	4.000000
9.000000	17450.000000	1.000000	0.000000		10.000000	S  2	Stimulus	10.000000	5.000000
10.000000	18001.000000	1.000000	0.000000		11.000000	S  6	Stimulus	11.000000	5.000000
11.000000	21399.000000	1.000000	0.000000		12.000000	S  1	Stimulus	12.000000	6.000000
12.000000	22001.000000	1.000000	0.000000		13.000000	S  6	Stimulus	13.000000	6.000000
13.000000	25561.000000	1.000000	0.000000		14.000000	S  1	Stimulus	14.000000	7.000000
14.000000	26001.000000	1.000000	0.000000		15.000000	S  6	Stimulus	15.000000	7.000000
15.000000	29531.000000	1.000000	0.000000		16.000000	S  2	Stimulus	16.000000	8.000000
16.000000	30001.000000	1.000000	0.000000		17.000000	S  6	Stimulus	17.000000	8.000000
17.000000	33544.000000	1.000000	0.000000		18.000000	S  2	Stimulus	18.000000	9.000000
18.000000	34001.000000	1.000000	0.000000		19.000000	S  6	Stimulus	19.000000	9.000000
19.000000	37479.000000	1.000000	0.000000		20.000000	S  1	Stimulus	20.000000	10.000000
20.000000	38001.000000	1.000000	0.000000		21.000000	S  6	Stimulus	21.000000	10.000000
21.000000	41526.000000	1.000000	0.000000		22.000000	S  1	Stimulus	22.000000	11.000000
22.000000	42001.000000	1.000000	0.000000		23.000000	S  6	Stimulus	23.000000	11.000000
23.000000	45542.000000	1.000000	0.000000		24.000000	S  2	Stimulus	24.000000	12.000000
24.000000	46001.000000	1.000000	0.000000		25.000000	S  6	Stimulus	25.000000	12.000000
25.000000	49442.000000	1.000000	0.000000		28.000000	S  1	Stimulus	28.000000	13.000000
26.000000	50001.000000	1.000000	0.000000		29.000000	S  6	Stimulus	29.000000	13.000000
27.000000	53522.000000	1.000000	0.000000		30.000000	S  2	Stimulus	30.000000	14.000000
28.000000	54001.000000	1.000000	0.000000		31.000000	S  6	Stimulus	31.000000	14.000000
29.000000	57297.000000	1.000000	0.000000		32.000000	S  1	Stimulus	32.000000	15.000000
30.000000	58001.000000	1.000000	0.000000		33.000000	S  6	Stimulus	33.000000	15.000000
31.000000	61444.000000	1.000000	0.000000		34.000000	S  2	Stimulus	34.000000	16.000000
32.000000	62001.000000	1.000000	0.000000		35.000000	S  6	Stimulus	35.000000	16.000000
33.000000	65400.000000	1.000000	0.000000		36.000000	S  1	Stimulus	36.000000	17.000000
34.000000	66001.000000	1.000000	0.000000		37.000000	S  6	Stimulus	37.000000	17.000000
35.000000	69469.000000	1.000000	0.000000		38.000000	S  2	Stimulus	38.000000	18.000000
36.000000	70001.000000	1.000000	0.000000		39.000000	S  6	Stimulus	39.000000	18.000000
37.000000	73468.000000	1.000000	0.000000		40.000000	S  1	Stimulus	40.000000	19.000000
38.000000	74001.000000	1.000000	0.000000		41.000000	S  6	Stimulus	41.000000	19.000000
39.000000	77527.000000	1.000000	0.000000		42.000000	S  2	Stimulus	42.000000	20.000000
40.000000	78001.000000	1.000000	0.000000		43.000000	S  6	Stimulus	43.000000	20.000000
41.000000	81591.000000	1.000000	0.000000		44.000000	S  1	Stimulus	44.000000	21.000000
42.000000	82001.000000	1.000000	0.000000		45.000000	S  6	Stimulus	45.000000	21.000000
43.000000	85541.000000	1.000000	0.000000		46.000000	S  1	Stimulus	46.000000	22.000000
44.000000	86001.000000	1.000000	0.000000		47.000000	S  6	Stimulus	47.000000	22.000000
45.000000	89348.000000	1.000000	0.000000		48.000000	S  2	Stimulus	48.000000	23.000000
46.000000	90001.000000	1.000000	0.000000		49.000000	S  6	Stimulus	49.000000	23.000000
47.000000	93485.000000	1.000000	0.000000		50.000000	S  2	Stimulus	50.000000	24.000000
48.000000	94001.000000	1.000000	0.000000		51.000000	S  6	Stimulus	51.000000	24.000000
49.000000	97390.000000	1.000000	0.000000		52.000000	S  1	Stimulus	52.000000	25.000000
50.000000	98001.000000	1.000000	0.000000		53.000000	S  6	Stimulus	53.000000	25.000000
51.000000	101436.000000	1.000000	0.000000		54.000000	S  1	Stimulus	54.000000	26.000000
52.000000	102001.000000	1.000000	0.000000		55.000000	S  6	Stimulus	55.000000	26.000000
53.000000	105473.000000	1.000000	0.000000		56.000000	S  2	Stimulus	56.000000	27.000000
54.000000	106001.000000	1.000000	0.000000		57.000000	S  6	Stimulus	57.000000	27.000000
55.000000	109303.000000	1.000000	0.000000		58.000000	S  1	Stimulus	58.000000	28.000000
56.000000	110001.000000	1.000000	0.000000		59.000000	S  6	Stimulus	59.000000	28.000000
57.000000	113408.000000	1.000000	0.000000		60.000000	S  2	Stimulus	60.000000	29.000000
58.000000	114001.000000	1.000000	0.000000		61.000000	S  6	Stimulus	61.000000	29.000000
59.000000	117432.000000	1.000000	0.000000		62.000000	S  1	Stimulus	62.000000	30.000000
60.000000	118001.000000	1.000000	0.000000		63.000000	S  6	Stimulus	63.000000	30.000000
61.000000	121349.000000	1.000000	0.000000		64.000000	S  2	Stimulus	64.000000	31.000000
62.000000	122001.000000	1.000000	0.000000		65.000000	S  6	Stimulus	65.000000	31.000000
63.000000	125477.000000	1.000000	0.000000		66.000000	S  1	Stimulus	66.000000	32.000000
64.000000	126001.000000	1.000000	0.000000		67.000000	S  6	Stimulus	67.000000	32.000000
65.000000	129423.000000	1.000000	0.000000		68.000000	S  2	Stimulus	68.000000	33.000000
66.000000	130001.000000	1.000000	0.000000		69.000000	S  6	Stimulus	69.000000	33.000000
67.000000	133469.000000	1.000000	0.000000		77.000000	S  2	Stimulus	77.000000	34.000000
68.000000	134001.000000	1.000000	0.000000		78.000000	S  6	Stimulus	78.000000	34.000000
69.000000	137495.000000	1.000000	0.000000		79.000000	S  2	Stimulus	79.000000	35.000000
70.000000	138001.000000	1.000000	0.000000		80.000000	S  6	Stimulus	80.000000	35.000000
71.000000	141328.000000	1.000000	0.000000		81.000000	S  1	Stimulus	81.000000	36.000000
72.000000	142001.000000	1.000000	0.000000		82.000000	S  6	Stimulus	82.000000	36.000000
73.000000	145348.000000	1.000000	0.000000		90.000000	S  1	Stimulus	90.000000	37.000000
74.000000	146001.000000	1.000000	0.000000		91.000000	S  6	Stimulus	91.000000	37.000000
75.000000	149435.000000	1.000000	0.000000		92.000000	S  1	Stimulus	92.000000	38.000000
76.000000	150001.000000	1.000000	0.000000		93.000000	S  6	Stimulus	93.000000	38.000000
