number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
1.000000	1385.000000	1.000000	0.000000		86.000000	S  1	Stimulus	86.000000	1.000000
2.000000	1501.000000	1.000000	0.000000		87.000000	S  3	Stimulus	87.000000	1.000000
3.000000	4934.000000	1.000000	0.000000		88.000000	S  2	Stimulus	88.000000	2.000000
4.000000	5001.000000	1.000000	0.000000		89.000000	S  3	Stimulus	89.000000	2.000000
5.000000	8384.000000	1.000000	0.000000		94.000000	S  2	Stimulus	94.000000	3.000000
6.000000	8501.000000	1.000000	0.000000		95.000000	S  3	Stimulus	95.000000	3.000000
7.000000	11618.000000	1.000000	0.000000		96.000000	S  2	Stimulus	96.000000	4.000000
8.000000	12001.000000	1.000000	0.000000		97.000000	S  3	Stimulus	97.000000	4.000000
9.000000	15067.000000	1.000000	0.000000		98.000000	S  1	Stimulus	98.000000	5.000000
10.000000	15501.000000	1.000000	0.000000		99.000000	S  3	Stimulus	99.000000	5.000000
11.000000	18935.000000	1.000000	0.000000		127.000000	S  2	Stimulus	127.000000	6.000000
12.000000	19001.000000	1.000000	0.000000		128.000000	S  3	Stimulus	128.000000	6.000000
13.000000	22384.000000	1.000000	0.000000		137.000000	S  1	Stimulus	137.000000	7.000000
14.000000	22501.000000	1.000000	0.000000		138.000000	S  3	Stimulus	138.000000	7.000000
15.000000	25568.000000	1.000000	0.000000		141.000000	S  1	Stimulus	141.000000	8.000000
16.000000	26001.000000	1.000000	0.000000		142.000000	S  3	Stimulus	142.000000	8.000000
17.000000	29434.000000	1.000000	0.000000		147.000000	S  2	Stimulus	147.000000	9.000000
18.000000	29501.000000	1.000000	0.000000		148.000000	S  3	Stimulus	148.000000	9.000000
19.000000	32568.000000	1.000000	0.000000		152.000000	S  1	Stimulus	152.000000	10.000000
20.000000	33001.000000	1.000000	0.000000		153.000000	S  3	Stimulus	153.000000	10.000000
21.000000	36117.000000	1.000000	0.000000		160.000000	S  1	Stimulus	160.000000	11.000000
22.000000	36501.000000	1.000000	0.000000		161.000000	S  3	Stimulus	161.000000	11.000000
23.000000	39884.000000	1.000000	0.000000		168.000000	S  1	Stimulus	168.000000	12.000000
24.000000	40001.000000	1.000000	0.000000		169.000000	S  3	Stimulus	169.000000	12.000000
25.000000	43385.000000	1.000000	0.000000		182.000000	S  2	Stimulus	182.000000	13.000000
26.000000	43501.000000	1.000000	0.000000		183.000000	S  3	Stimulus	183.000000	13.000000
27.000000	46618.000000	1.000000	0.000000		186.000000	S  1	Stimulus	186.000000	14.000000
28.000000	47001.000000	1.000000	0.000000		187.000000	S  3	Stimulus	187.000000	14.000000
29.000000	50435.000000	1.000000	0.000000		205.000000	S  1	Stimulus	205.000000	15.000000
30.000000	50501.000000	1.000000	0.000000		206.000000	S  3	Stimulus	206.000000	15.000000
31.000000	53885.000000	1.000000	0.000000		207.000000	S  2	Stimulus	207.000000	16.000000
32.000000	54001.000000	1.000000	0.000000		208.000000	S  3	Stimulus	208.000000	16.000000
33.000000	57434.000000	1.000000	0.000000		227.000000	S  2	Stimulus	227.000000	17.000000
34.000000	57501.000000	1.000000	0.000000		228.000000	S  3	Stimulus	228.000000	17.000000
35.000000	60617.000000	1.000000	0.000000		238.000000	S  1	Stimulus	238.000000	18.000000
36.000000	61001.000000	1.000000	0.000000		239.000000	S  3	Stimulus	239.000000	18.000000
37.000000	64385.000000	1.000000	0.000000		240.000000	S  2	Stimulus	240.000000	19.000000
38.000000	64501.000000	1.000000	0.000000		241.000000	S  3	Stimulus	241.000000	19.000000
39.000000	67884.000000	1.000000	0.000000		250.000000	S  2	Stimulus	250.000000	20.000000
40.000000	68001.000000	1.000000	0.000000		251.000000	S  3	Stimulus	251.000000	20.000000
41.000000	71435.000000	1.000000	0.000000		254.000000	S  2	Stimulus	254.000000	21.000000
42.000000	71501.000000	1.000000	0.000000		255.000000	S  3	Stimulus	255.000000	21.000000
